"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93",".first() - get first DOM element","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","101",".last() - get last DOM element","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","84","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-08-04","passed","2026-08-04","","","",""
"","88",".not() - remove DOM elements from set of DOM elements","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","2534","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-08-04","passed","2026-08-04","","","",""
"","102",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","472",".as() - alias a route for later use","Aliasing","2026-08-04","passed","2026-08-04","","","",""
"","249","can filter for completed tasks","example to-do app","2026-08-04","passed","2026-08-04","","with a checked task","",""
"","81","Get underlying OS name","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.platform","",""
"","179","cy.clearCookie() - clear a browser cookie","Cookies","2026-08-04","passed","2026-08-04","","","",""
"","221","cy.hash() - get the current URL hash","Location","2026-08-04","passed","2026-08-04","","","",""
"","99",".next() - get next sibling DOM element","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","110","cy.setCookie() - set a browser cookie","Cookies","2026-08-04","passed","2026-08-04","","","",""
"","253","can delete all completed tasks","example to-do app","2026-08-04","passed","2026-08-04","","with a checked task","",""
"","97","matches unknown text between two elements","Assertions","2026-08-04","passed","2026-08-04","","Explicit Assertions","",""
"","236","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-08-04","passed","2026-08-04","","","",""
"","541","cy.request() - make an XHR request","Network Requests","2026-08-04","passed","2026-08-04","","","",""
"","95",".parent() - get parent DOM element from DOM elements","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","757",".check() - check a checkbox or radio element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","309",".should() - make an assertion about the current subject","Assertions","2026-08-04","passed","2026-08-04","","Implicit Assertions","",""
"","1082","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-08-04","passed","2026-08-04","","","",""
"","192","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-08-04","passed","2026-08-04","","","",""
